Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Instagram_username,Political_party
A. Donald McEachin,RepMcEachin,2017-01-03T00:00:00Z,816181091673448448,male,Germany,repmceachin,Democratic Party
Aaron Michlewitz,RepMichlewitz,2010-06-27T00:00:00Z,160246973,male,United States of America,,Democratic Party
Aaron Peskin,AaronPeskin,2010-11-13T00:00:00Z,215369273,male,United States of America,apeskin52,Democratic Party
Aaron Peña,AaronPena,2007-10-31T00:00:00Z,9843332,male,United States of America,,Republican Party
Aaron Schock,aaronschock,2009-03-12T00:00:00Z,23951197,male,United States of America,aaronschock,Republican Party
Abby Finkenauer,Abby4Iowa,2013-03-12T00:00:00Z,1262017122,female,United States of America,abby4iowa,Democratic Party
Abigail Spanberger,RepSpanberger,2018-12-28T00:00:00Z,1078771401497161728,female,United States of America,repspanberger,Democratic Party
Abigail Spanberger,SpanbergerVA07,2018-12-28T00:00:00Z,1078771401497161728,female,United States of America,repspanberger,Democratic Party
Abigail Spanberger,RepSpanberger,2017-07-06T00:00:00Z,882958562296819714,female,United States of America,repspanberger,Democratic Party
Abigail Spanberger,SpanbergerVA07,2017-07-06T00:00:00Z,882958562296819714,female,United States of America,repspanberger,Democratic Party
Adam Kinzinger,repkinzinger,2010-11-24T00:00:00Z,219429281,male,United States of America,,Republican Party
Adam Putnam,adamputnam,2009-06-19T00:00:00Z,48809111,male,United States of America,,Republican Party
Adam Schiff,RepAdamSchiff,2009-04-07T00:00:00Z,29501253,male,United States of America,repadamschiff,Democratic Party
Adam Smith,RepAdamSmith,2009-07-21T00:00:00Z,58928690,male,United States of America,,Democratic Party
Adam Zemke,adamzemke,,,male,United States of America,,Democratic Party
Adlai Stevenson III,AdlaiEStevenson,2010-11-30T00:00:00Z,221507760,male,United States of America,,Democratic Party
Adrian Fenty,adrianfenty,2013-08-04T00:00:00Z,1644427472,male,United States of America,,Democratic Party
Adrian Smith,RepAdrianSmith,2011-05-10T00:00:00Z,296245061,male,United States of America,repadriansmith,Republican Party
Adriano Espaillat,RepEspaillat,2017-01-05T00:00:00Z,817076257770835968,male,Dominican Republic,repadrianoespaillat,Democratic Party
Aftab Pureval,aftabpureval,2014-03-20T00:00:00Z,2400005258,male,United States of America,aftabpureval,Democratic Party
Aja Brown,AjaLBrown,2013-02-12T00:00:00Z,1173297636,female,United States of America,ajalbrown,Democratic Party
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,,New Party Sakigake
Akiko Dōmoto,domotoakiko,2010-05-20T00:00:00Z,145969967,female,United States of America,,Japan Socialist Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,,Democratic Party
Al Franken,alfranken,2007-07-08T00:00:00Z,7334402,male,United States of America,,Minnesota Democratic–Farmer–Labor Party
Al Gore,algore,2008-11-06T00:00:00Z,17220934,male,United States of America,,Democratic Party
Al Green,RepAlGreen,2010-06-16T00:00:00Z,156333623,male,United States of America,repalgreen,Democratic Party
Al Gross,DrAlGrossAK,2017-01-01T00:00:00Z,817869452473548800,male,United States of America,dralgross,independent politician
Al Muratsuchi,asmmuratsuchi,2017-02-13T00:00:00Z,831279382052249600,male,Japan,asmmuratsuchi,Democratic Party
